Compound_ID,EGFR_IC50_nM,Cell_Proliferation_IC50_nM,Brain_Plasma_Ratio,Microsomal_Stability_%,hERG_IC50_uM,Solubility_uM,MW,LogP
NGT-140,2.3,18.5,0.4,45,8.2,12,445.2,3.1
NGT-141,1.8,15.2,0.6,52,12.5,18,451.3,2.9
NGT-142,1.2,11.8,0.8,67,15.8,25,467.4,2.7
NGT-143,0.9,9.4,1.2,78,22.1,32,483.5,2.5
NGT-144,1.1,10.2,1.0,71,18.9,28,475.6,2.6
NGT-145,0.7,8.1,1.4,82,28.5,38,491.7,2.4
NGT-146,0.8,8.9,1.3,79,25.2,35,487.8,2.5
NGT-147,0.8,12.0,1.8,85,>30,45,456.5,2.8
NGT-148,1.5,16.3,0.9,58,14.7,22,472.9,2.7
NGT-149,2.1,19.8,0.5,41,9.8,15,488.1,3.0
NGT-150,1.9,17.2,0.7,49,11.3,19,464.7,2.9
NGT-151,1.3,13.5,1.1,73,20.4,31,480.3,2.6
NGT-152,1.6,14.8,0.8,62,16.9,26,496.4,2.8
NGT-153,2.4,21.5,0.3,38,7.5,11,452.8,3.2
NGT-154,1.7,15.9,0.9,65,19.2,29,468.9,2.7
NGT-155,1.4,12.7,1.2,76,23.8,34,484.2,2.5
NGT-156,1.8,16.1,0.6,54,13.1,21,500.5,2.9
NGT-157,2.0,18.7,0.4,46,10.6,17,516.7,3.1
NGT-158,1.1,10.8,1.3,81,26.9,37,532.8,2.4
NGT-159,1.6,14.2,0.8,63,17.5,27,548.9,2.8
